xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
2,3,5,9,8,31099.491601541333,580.2065365095465
2,3,5,10,8,21400.427162115215,449.41362547284996
2,3,5,11,8,11700.107828183764,298.40047761879964
2,3,6,1,8,67203.99750579346,1366.172699999936
2,3,6,2,8,62177.09374265561,1252.022965378766
2,3,6,3,8,53596.65175188734,1149.5369500187662
2,3,6,4,8,44259.65816145113,1033.249076562519
2,3,6,5,8,72699.66957343974,1260.4961231618972
2,3,6,6,8,50640.55222945218,918.1921728319556
2,3,6,7,8,38977.54244566227,719.5931009225959
2,3,6,8,8,38896.44511138405,648.9914342394098
2,3,6,9,8,21967.211840961834,471.7576913956336
2,3,6,10,8,15026.194798573768,361.83336251167225
2,3,6,11,8,7511.56083593799,239.86593302656536
2,3,7,1,8,39369.69953004468,894.9949686428449
2,3,7,2,8,35897.841269657016,863.6967583349322
2,3,7,3,8,32526.177619991475,846.5275567487174
2,3,7,4,8,26435.509314230665,733.385995276137
2,3,7,5,8,42844.26826836662,877.2950673702585
2,3,7,6,8,28601.146640644823,651.9087684776555
2,3,7,7,8,21303.316140192324,519.5554028714678
2,3,7,8,8,18089.54857364823,442.20866272707804
2,3,7,9,8,8399.286561407494,294.3775703031973
2,3,7,10,8,3437.5661499393786,189.44782130390033
2,3,7,11,8,891.0725927405089,141.93479891548785
2,3,8,1,8,14325.640865195182,514.5112116388992
2,3,8,2,8,8557.775298841356,400.551068359301
2,3,8,3,8,7265.750980164608,395.02575327628335
2,3,8,4,8,6272.658638165299,374.5601211152979
2,3,8,5,8,6780.62174939876,380.53973066416233
2,3,8,6,8,3273.115230004351,278.6832019327882
2,3,8,7,8,1795.5553890556707,305.4762844158033
2,3,8,8,8,0.0,0.0
2,3,8,9,8,0.0,0.0
2,3,8,10,8,0.0,0.0
2,3,8,11,8,0.0,0.0
3,4,1,1,8,9569180.557138447,671697.0487338828
3,4,1,2,8,4685513.698599031,206814.1306641392
3,4,1,3,8,2518486.119191833,108084.11292068425
3,4,1,4,8,1332688.5387576034,69321.08799594681
3,4,1,5,8,1231010.1716486753,100223.25223182378
3,4,1,6,8,0.0,0.0
3,4,1,7,8,0.0,0.0
3,4,1,8,8,0.0,0.0
3,4,1,9,8,0.0,0.0
3,4,1,10,8,0.0,0.0
3,4,1,11,8,0.0,0.0
