xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
6,7,6,2,8,11533.979629222347,505.13867705555333
6,7,6,3,5,3979.072423014397,405.35721504684005
6,7,6,4,2,565.184766773667,83.8500235817402
7,8,3,1,8,149555.00353011923,8477.709613644574
7,8,3,2,6,104530.12600549476,5019.79901516045
7,8,3,3,3,50219.446142027766,4517.035214840045
7,8,3,4,3,33018.56432105636,2438.035921099999
7,8,3,5,3,21492.219615637037,1761.213474845344
7,8,4,1,8,85974.57853533399,2270.8060446676072
7,8,4,2,8,78286.24157539978,5716.715542859527
7,8,4,3,6,32671.78210353489,1572.542384295363
7,8,4,4,4,14102.475306439492,1200.923711078888
7,8,4,5,2,3416.854585254451,269.8691508474091
7,8,5,1,8,32298.702937886614,809.202934529172
