xq2_center,xq2_bin,iy,z_bin,pt2_bin,z_label,pt2_label,rootfile,source,npoints,p0,p1,p2,chi2,ndf,status
2.000000,2,3,3,4,0.30–0.40,0.15–0.20,measData_times_truth_over_meas.root,file2,8,55702.63513,-2534.41898,4404.553802,11.93144106,5,0
2.000000,2,3,3,5,0.30–0.40,0.20–0.30,measData_times_truth_over_meas.root,file1,8,76865.69635,-5835.000247,-236.9765319,20.69546242,5,0
2.000000,2,3,3,5,0.30–0.40,0.20–0.30,measData_times_truth_over_meas.root,file2,8,76865.69635,-5835.000247,-236.9765319,20.69546242,5,0
2.000000,2,3,3,6,0.30–0.40,0.30–0.40,measData_times_truth_over_meas.root,file1,8,46227.1064,-6117.581559,-59.45994363,12.11389351,5,0
2.000000,2,3,3,6,0.30–0.40,0.30–0.40,measData_times_truth_over_meas.root,file2,8,46227.1064,-6117.581559,-59.45994363,12.11389351,5,0
2.000000,2,3,3,7,0.30–0.40,0.40–0.50,measData_times_truth_over_meas.root,file1,8,27292.30498,-5456.57313,1266.89932,15.10164542,5,0
2.000000,2,3,3,7,0.30–0.40,0.40–0.50,measData_times_truth_over_meas.root,file2,8,27292.30498,-5456.57313,1266.89932,15.10164542,5,0
2.000000,2,3,3,8,0.30–0.40,0.50–0.65,measData_times_truth_over_meas.root,file1,8,21738.02337,-6412.496317,2964.53547,5.466925643,5,0
2.000000,2,3,3,8,0.30–0.40,0.50–0.65,measData_times_truth_over_meas.root,file2,8,21738.02337,-6412.496317,2964.53547,5.466925643,5,0
2.000000,2,3,3,9,0.30–0.40,0.65–0.80,measData_times_truth_over_meas.root,file1,8,10659.80799,-3932.312504,2113.911446,21.72215294,5,0
2.000000,2,3,3,9,0.30–0.40,0.65–0.80,measData_times_truth_over_meas.root,file2,8,10659.80799,-3932.312504,2113.911446,21.72215294,5,0
2.000000,2,3,3,10,0.30–0.40,0.80–1.00,measData_times_truth_over_meas.root,file1,8,6691.00702,-3638.962328,1985.427611,19.70807326,5,0
2.000000,2,3,3,10,0.30–0.40,0.80–1.00,measData_times_truth_over_meas.root,file2,8,6690.992436,-3638.939241,1985.409966,19.70698592,5,0
2.000000,2,3,3,11,0.30–0.40,1.00–1.50,measData_times_truth_over_meas.root,file1,7,3742.916391,-2414.312733,755.0492446,16.66746346,4,0
2.000000,2,3,3,11,0.30–0.40,1.00–1.50,measData_times_truth_over_meas.root,file2,7,3508.744954,-2260.39173,707.7314165,16.74145768,4,0
2.000000,2,3,4,1,0.40–0.50,0.00–0.05,measData_times_truth_over_meas.root,file1,8,48178.5027,-5465.037088,2026.563408,15.97488462,5,0
2.000000,2,3,4,1,0.40–0.50,0.00–0.05,measData_times_truth_over_meas.root,file2,8,48178.5027,-5465.037088,2026.563408,15.97488462,5,0
2.000000,2,3,4,2,0.40–0.50,0.05–0.10,measData_times_truth_over_meas.root,file1,7,43487.97669,388.5305073,3976.824399,20.41003912,4,0
2.000000,2,3,4,2,0.40–0.50,0.05–0.10,measData_times_truth_over_meas.root,file2,7,43487.97669,388.5305073,3976.824399,20.41003912,4,0
2.000000,2,3,4,3,0.40–0.50,0.10–0.15,measData_times_truth_over_meas.root,file1,6,33760.12152,-2669.609782,1180.208634,12.33453196,3,0
